"site","lat","lon","BS.dens","TA.dens","PB.dens","total.dens","bs.prop","ta.prop","pb.prop"
1,64.06,-142.02,26000,104000,26000,156000,0.166666666666667,0.666666666666667,0.166666666666667
2,64.05,-142.06,11000,0,0,11000,1,0,0
3,64.04,-142.06,4000,186000,24000,214000,0.0186915887850467,0.869158878504673,0.11214953271028
4,64.02,-142.08,26000,0,1000,27000,0.962962962962963,0,0.037037037037037
5,64.02,-142.09,4000,13000,0,17000,0.235294117647059,0.764705882352941,0
6,63.98,-142.16,74000,0,0,74000,1,0,0
7,63.98,-142.16,9000,0,1000,10000,0.9,0,0.1
8,63.96,-142.17,29000,13000,0,42000,0.69047619047619,0.30952380952381,0
9,63.86,-142.23,11000,56000,36000,103000,0.106796116504854,0.543689320388349,0.349514563106796
10,63.85,-142.22,49000,26000,19000,94000,0.521276595744681,0.276595744680851,0.202127659574468
11,63.85,-142.22,36000,53000,21000,110000,0.327272727272727,0.481818181818182,0.190909090909091
12,63.82,-142.21,7000,96000,51000,154000,0.0454545454545455,0.623376623376623,0.331168831168831
13,63.66,-142.29,1000,1000,9000,11000,0.0909090909090909,0.0909090909090909,0.818181818181818
14,63.63,-142.31,4000,6000,0,10000,0.4,0.6,0
15,63.63,-142.32,2000,6000,0,8000,0.25,0.75,0
16,63.59,-142.36,4000,1000,0,5000,0.8,0.2,0
17,63.56,-142.37,4000,4000,0,8000,0.5,0.5,0
18,63.56,-142.37,3000,1000,0,4000,0.75,0.25,0
19,63.54,-142.39,1000,0,0,1000,1,0,0
20,63.53,-142.39,0,1000,0,1000,0,1,0
23,63.46,-142.47,4000,44000,0,48000,0.0833333333333333,0.916666666666667,0
24,63.46,-142.47,1000,1000,2000,4000,0.25,0.25,0.5
25,63.42,-142.48,20000,0,0,20000,1,0,0
26,63.52,-142.39,6000,1000,0,7000,0.857142857142857,0.142857142857143,0
27,63.4,-142.47,34000,1000,1000,36000,0.944444444444444,0.0277777777777778,0.0277777777777778
28,63.4,-142.49,63000,26000,14000,103000,0.611650485436893,0.252427184466019,0.135922330097087
29,63.39,-142.52,76000,31000,35000,142000,0.535211267605634,0.21830985915493,0.246478873239437
30,66.32,-150.41,6000,27000,0,33000,0.181818181818182,0.818181818181818,0
31,66.32,-150.4,4000,6000,1000,11000,0.363636363636364,0.545454545454545,0.0909090909090909
32,66.28,-150.36,60000,0,0,60000,1,0,0
33,66.27,-150.34,26000,0,0,26000,1,0,0
34,66.21,-150.27,6000,2000,3000,11000,0.545454545454545,0.181818181818182,0.272727272727273
35,66.21,-150.26,78000,9000,0,87000,0.896551724137931,0.103448275862069,0
36,66.21,-150.26,172000,15000,16000,203000,0.847290640394089,0.0738916256157636,0.0788177339901478
37,66.21,-150.23,88000,17000,78000,183000,0.480874316939891,0.092896174863388,0.426229508196721
38,66.19,-150.22,240000,23000,1000,264000,0.909090909090909,0.0871212121212121,0.00378787878787879
39,66.17,-150.2,222000,56000,6000,284000,0.78169014084507,0.197183098591549,0.0211267605633803
40,66.16,-150.2,65000,194000,47000,306000,0.212418300653595,0.633986928104575,0.15359477124183
41,66.16,-150.18,134000,57000,1000,192000,0.697916666666667,0.296875,0.00520833333333333
42,66.15,-150.18,86000,260000,2000,348000,0.247126436781609,0.747126436781609,0.00574712643678161
43,66.15,-150.18,53000,1000,1000,55000,0.963636363636364,0.0181818181818182,0.0181818181818182
44,66.14,-150.17,169000,17000,1000,187000,0.903743315508021,0.0909090909090909,0.0053475935828877
45,66.11,-150.16,0,31000,0,31000,0,1,0
46,66.11,-150.16,92000,37000,0,129000,0.713178294573643,0.286821705426357,0
47,66.12,-150.16,64000,0,0,64000,1,0,0
48,66.11,-150.16,84000,73000,0,157000,0.535031847133758,0.464968152866242,0
