"burn"	"site"	"burnsite"	"mix.type"	"site.type"	"moist.class"	"elev"	"Lat.N."	"Lon.W."	"slope.deg"	"aspect"	"asp.folded"	"lat.rad"	"slope.rad"	"aspect.rad"	"ln.Htload."	"insolation"	"moisture"	"pH"	"text.class"	"org"	"BS.dens"	"BS.ba"	"TA.dens"	"TA.ba"	"PB.dens"	"PB.ba"	"BS.dens.post"	"TA.dens.post"	"PB.dens.post"	"BS.BAI"	"BS.rw"	"BS.mean.age"	"total.dens"	"bs.prop"	"ta.prop"	"pb.prop"
"1"	"RR"	"N1"	"RRN1"	"BS"	"N"	5	374	65.12058	-147.44743	16.5	10	35	1.136568532	0.287979327	0.610865238	-0.987109658	0.522	60	4.79	2	13.3	0.258333333	3.111812973	0	0	0	0	20000	10000	42000	NA	NA	NA	72000	0.277777777777778	0.138888888888889	0.583333333333333
"2"	"RR"	"N2"	"RRN2"	"BS"	"N"	3	442	65.11866	-147.44551	12.75	10	35	1.136535021	0.22252948	0.610865238	-2.010833312	0.577	29	4.783333333	3	9.6	0.466666667	4.158552375	0	0	0	0	32000	17000	27000	NA	NA	NA	76000	0.421052631578947	0.223684210526316	0.355263157894737
"3"	"RR"	"N3"	"RRN3"	"BS"	"N"	3	457	65.11803	-147.44476	8.5	10	35	1.136524026	0.148352986	0.610865238	-0.28116551	0.636	24	4.99	3	13.7	0.633333333	9.21991994	0	0	0	0	1000	4000	11000	NA	NA	NA	16000	0.0625	0.25	0.6875
"4"	"RR"	"S1"	"RRS1"	"BS"	"S"	2	470	65.11415	-147.43173	11.5	190	145	1.136456307	0.200712864	2.530727415	-0.789724446	0.859	15	4.63	3	6.9	0.208333333	10.28845414	0	0	0	0	9000	21000	21000	NA	NA	NA	51000	0.176470588235294	0.411764705882353	0.411764705882353
"5"	"RR"	"S2"	"RRS2"	"BS"	"S"	2	496	65.11598	-147.431	3.5	190	145	1.136488247	0.061086524	2.530727415	-0.059875822	0.781	18.33333333	4.863333333	3	5.6	0.241666667	12.52467906	0	0	0.116666667	8.593303105	13000	4000	25000	NA	NA	NA	42000	0.30952380952381	0.0952380952380952	0.595238095238095
"6"	"RR"	"S3"	"RRS3"	"BS"	"S"	1	498	65.11656	-147.43144	2.5	190	145	1.13649837	0.043633231	2.530727415	-1.122678737	0.77	13.33333333	4.92	3	4.9	0.3	10.95290099	0	0	0	0	14000	38000	25000	NA	NA	NA	77000	0.181818181818182	0.493506493506494	0.324675324675325
"7"	"BF"	"M1"	"BFM1"	"PB"	"PB"	1	473	65.28825	-146.4298	21.5	93	48	1.139494925	0.375245789	0.837758041	-0.286034039	0.702	17.66666667	5.01	3	10.4	0.041666667	1.913884425	0	0	0.158333333	7.322070728	0	14000	25000	85.4829725	0.514752985	51.1	39000	0	0.358974358974359	0.641025641025641
"8"	"BF"	"M2"	"BFM2"	"PB"	"PB"	2	459	65.27906666	-149.6081333	3	165	120	1.139334646	0.052359878	2.094395102	-0.309306017	0.773	48.33333333	5.01	3	9.9	0.316666667	11.87345308	0	0	0.066666667	3.776652519	21000	2000	72000	60.5502815	0.402312124	53.25	95000	0.221052631578947	0.0210526315789474	0.757894736842105
"9"	"BF"	"M3"	"BFM3"	"PB"	"PB"	1	369	65.24006667	-146.8293333	23	82	37	1.138653968	0.401425728	0.645771823	0.286694346	0.644	12.66666667	4.45	3	6.4	0.108333333	4.748844545	0	0	0.166666667	4.614672359	13000	21000	61000	107.3206741	0.599226791	57	95000	0.136842105263158	0.221052631578947	0.642105263157895
"10"	"BF"	"M4"	"BFM4"	"PB"	"PB"	2	383	65.07036	-147.28086	20	284	121	1.135692027	0.34906585	2.111848395	-1.424454324	0.641	30.66666667	4.96	2	6.2	0.075	4.803429717	0.008333333	0.388052143	0.216666667	10.39507194	3000	18000	18000	233.8144188	0.947889585	52.3	39000	0.0769230769230769	0.461538461538462	0.461538461538462
"11"	"BF"	"M5"	"BFM5"	"PB"	"PB"	3	219	65.08856	-147.23226	0	90	45	1.136009677	0	0.785398163	-2.091060214	0.742	49	5.33	3	5.6	0.333333333	11.46988933	0.008333333	0.075660023	0.158333333	9.673618279	6000	5000	35000	80.12248682	0.402975897	61.2	46000	0.130434782608696	0.108695652173913	0.760869565217391
"12"	"BF"	"M6"	"BFM6"	"PB"	"PB"	2	363	65.14379	-146.49784	18	83	38	1.136973623	0.314159265	0.663225116	-1.009858045	0.679	26.66666667	5.55	2	6	0.333333333	12.252015	0.008333333	0.227830917	0.141666667	3.156646118	27000	2000	20000	67.17943453	0.379001318	59.8	49000	0.551020408163265	0.0408163265306122	0.408163265306122
"13"	"BF"	"M7"	"BFM7"	"TA"	"TA"	1	452	65.29406	-146.501316	11	202	157	1.139596329	0.191986218	2.740166926	-0.14103378	0.846	25	5.356666667	2	5.7	0.075	4.966857985	0.108333333	9.033911475	0	0	0	82000	0	151.3042576	0.649397079	61.77778	82000	0	1	0
"14"	"BF"	"M8"	"BFM8"	"TA"	"TA"	1	473	65.28096	-146.74013	16	224	179	1.139367691	0.27925268	3.124139361	-0.440036976	0.846	14.33333333	4.97	1	2.2	0.275	5.89722756	0.25	25.7202845	0	0	0	61000	0	122.1157697	0.671465718	55.3	61000	0	1	0
"15"	"BF"	"M9"	"BFM9"	"TA"	"TA"	1	344	65.23803	-146.81425	10	111	66	1.138618421	0.174532925	1.151917306	-0.771821396	0.771	8	5.116666667	1	2.7	0.208333333	6.23488332	0.1	4.217457238	0.025	1.001317208	13000	31000	3000	166.5848892	0.845338385	50.5	47000	0.276595744680851	0.659574468085106	0.0638297872340425
"16"	"BF"	"M10"	"BFM10"	"TA"	"TA"	2	534	65.17773	-146.3922	12	212	167	1.137565987	0.20943951	2.914699851	-2.274597809	0.844	18.66666667	5	1	5.7	0.033333333	2.579378468	0.000833333	0.035145477	0	0	2000	42000	6000	214.3290865	0.746648271	60.5	50000	0.04	0.84	0.12
"17"	"BF"	"M11"	"BFM11"	"TA"	"TA"	3	399	65.2782	-146.645683	17	132	87	1.13931952	0.296705973	1.518436449	0.032190156	0.841	19.33333333	5.286666667	2	4.5	0.275	5.193445355	0.25	12.80788055	0.033333333	0.92814428	2000	33000	2000	75.12788835	0.770757409	36.4	37000	0.0540540540540541	0.891891891891892	0.0540540540540541
"18"	"BF"	"M12"	"BFM12"	"TA"	"TA"	2	368	65.15842	-146.44219	16	148	103	1.137228964	0.27925268	1.79768913	-0.572731531	0.871	7.333333333	4.573333333	2	2.9	0.2	6.694472145	0.066666667	5.922098502	0.033333333	2.436697802	23000	50000	22000	130.2918265	0.804190921	44.4	95000	0.242105263157895	0.526315789473684	0.231578947368421
"19"	"BF"	"D1"	"BFD1"	"BS"	"D"	2	236	65.18373333	-147.26666	0	90	45	1.137670765	0	0.785398163	-2.186466946	0.741	25.33333333	5.583333333	1	12	0.525	9.742667867	0	0	0	0	88000	1000	8000	38.4685045	0.309656694	60	97000	0.907216494845361	0.0103092783505155	0.0824742268041237
"20"	"BF"	"D2"	"BFD2"	"BS"	"D"	3	378	65.2715666	-146.707633	0	90	45	1.139203745	0	0.785398163	-2.266900867	0.74	72.33333333	6.456666667	3	21	0.525	9.48911516	0	0	0	0	59000	7000	5000	39.05220774	0.330564574	49	71000	0.830985915492958	0.0985915492957746	0.0704225352112676
"21"	"BF"	"D3"	"BFD3"	"BS"	"D"	3	357	65.26613333	-146.72455	0	90	45	1.139108917	0	0.785398163	-2.262149859	0.74	60.66666667	6.106666667	3	15.1	0.508333333	6.932251439	0	0	0	0	78000	7000	4000	28.13450156	0.287254374	56.9	89000	0.876404494382023	0.0786516853932584	0.0449438202247191
"22"	"BF"	"N1"	"BFN1"	"BS"	"N"	3	271	65.15128333	-147.3421166	20.5	330	75	1.137104406	0.357792497	1.308996939	-2.475834554	0.488	38	4.93	5	35.5	0.208333333	2.500053254	0	0	0	0	1000	0	0	31.86519018	0.278397685	58	1000	1	0	0
"23"	"BF"	"N2"	"BFN2"	"BS"	"N"	3	252	65.16571666	-147.2900333	27	320	85	1.137356315	0.471238898	1.483529864	-0.319134354	0.42	49.33333333	5.203333333	5	41.8	0.001736111	0.020833777	0	0	0	0	48000	0	0	21.47208691	0.164148571	103.375	48000	1	0	0
"24"	"BF"	"N3"	"BFN3"	"BS"	"N"	3	507	65.28393333	-146.7349	16	330	75	1.139419585	0.27925268	1.308996939	0.096287278	0.549	40	4.896666667	2	13.5	0.283333333	4.971308575	0	0	0	0	1000	0	0	39.71504382	0.399416921	46.1	1000	1	0	0
"25"	"BF"	"S1"	"BFS1"	"BS"	"S"	2	387	65.26211666	-146.7543167	0	170	125	1.139038813	0	2.181661565	-2.258618084	0.74	36.66666667	6.723333333	3	14.2	0.441666667	11.0561154	0	0	0	0	79000	2000	42000	24.33182509	0.386357435	63.33333	123000	0.642276422764228	0.016260162601626	0.341463414634146
"26"	"BF"	"S2"	"BFS2"	"BS"	"S"	2	468	65.29468333	-146.5243333	12.75	170	125	1.139607208	0.22252948	2.181661565	-2.473495286	0.868	22.66666667	5.25	3	12.7	0.241666667	10.14060294	0	0	0	0	13000	19000	0	36.06148649	0.378449715	60.33333	32000	0.40625	0.59375	0
"27"	"BF"	"S3"	"BFS3"	"BS"	"S"	2	485	65.2932666	-146.3917	14	219	174	1.139582482	0.244346095	3.036872898	-1.632903321	0.845	43	5.433333333	3	8.9	0.166666667	4.301036692	0	0	0	0	55000	16000	4000	23.33414224	0.369013665	62.3	75000	0.733333333333333	0.213333333333333	0.0533333333333333
