"tag"	"species"	"height"
"1"	"TA1"	"aspen"	114
"2"	"TA10"	"aspen"	39
"3"	"TA11"	"aspen"	76
"4"	"TA12"	"aspen"	64
"5"	"TA13"	"aspen"	37
"6"	"TA14"	"aspen"	142
"7"	"TA15"	"aspen"	39
"8"	"TA16"	"aspen"	126
"9"	"TA17"	"aspen"	39
"10"	"TA18"	"aspen"	52
"11"	"TA19"	"aspen"	29
"12"	"TA20"	"aspen"	49
"13"	"TA3"	"aspen"	93
"14"	"TA4"	"aspen"	114
"15"	"TA5"	"aspen"	139
"16"	"TA6"	"aspen"	250
"17"	"TA7"	"aspen"	99
"18"	"TA8"	"aspen"	51
"19"	"TA9"	"aspen"	47
"20"	"PB11"	"birch"	167
"21"	"PB12"	"birch"	103
"22"	"PB16"	"birch"	191
"23"	"PB17"	"birch"	205
"24"	"PB2"	"birch"	148
"25"	"PB3"	"birch"	172
"26"	"PB4"	"birch"	302
"27"	"PB5"	"birch"	166
"28"	"PB6"	"birch"	179
"29"	"PB7"	"birch"	214
"30"	"PB8"	"birch"	136
"31"	"BS1"	"spruce"	43
"32"	"BS10"	"spruce"	26
"33"	"BS11"	"spruce"	14
"34"	"BS12"	"spruce"	39
"35"	"BS13"	"spruce"	53
"36"	"BS14"	"spruce"	28
"37"	"BS15"	"spruce"	45
"38"	"BS16"	"spruce"	36
"39"	"BS17"	"spruce"	34
"40"	"BS18"	"spruce"	16
"41"	"BS19"	"spruce"	21
"42"	"BS2"	"spruce"	18
"43"	"BS20"	"spruce"	14
"44"	"BS3"	"spruce"	31
"45"	"BS4"	"spruce"	34
"46"	"BS5"	"spruce"	13
"47"	"BS6"	"spruce"	22
"48"	"BS7"	"spruce"	19
"49"	"BS8"	"spruce"	21
"50"	"BS9"	"spruce"	26
"51"	"TA1"	"aspen"	139
"52"	"TA11"	"aspen"	47
"53"	"TA12"	"aspen"	64
"54"	"TA13"	"aspen"	86
"55"	"TA14"	"aspen"	200
"56"	"TA15"	"aspen"	97
"57"	"TA16"	"aspen"	74
"58"	"TA2"	"aspen"	189
"59"	"TA20"	"aspen"	71
"60"	"TA4"	"aspen"	80
"61"	"TA7"	"aspen"	162
"62"	"TA9"	"aspen"	155
"63"	"PB10"	"birch"	367
"64"	"PB11"	"birch"	279
"65"	"PB12"	"birch"	241
"66"	"PB13"	"birch"	204
"67"	"PB14"	"birch"	184
"68"	"PB3"	"birch"	203
"69"	"PB6"	"birch"	143
"70"	"PB9"	"birch"	433
"71"	"BS1"	"spruce"	23
"72"	"BS10"	"spruce"	42
"73"	"BS11"	"spruce"	31
"74"	"BS12"	"spruce"	73
"75"	"BS13"	"spruce"	24
"76"	"BS14"	"spruce"	54
"77"	"BS15"	"spruce"	36
"78"	"BS16"	"spruce"	19
"79"	"BS17"	"spruce"	93
"80"	"BS18"	"spruce"	11
"81"	"BS19"	"spruce"	22
"82"	"BS2"	"spruce"	56
"83"	"BS20"	"spruce"	25
"84"	"BS3"	"spruce"	35
"85"	"BS4"	"spruce"	23
"86"	"BS5"	"spruce"	76
"87"	"BS6"	"spruce"	35
"88"	"BS7"	"spruce"	16
"89"	"BS8"	"spruce"	44
"90"	"BS9"	"spruce"	34
"91"	"TA10"	"aspen"	27
"92"	"TA11"	"aspen"	99
"93"	"TA13"	"aspen"	59
"94"	"TA14"	"aspen"	90
"95"	"TA15"	"aspen"	70
"96"	"TA16"	"aspen"	79
"97"	"TA17"	"aspen"	61
"98"	"TA18"	"aspen"	107
"99"	"TA19"	"aspen"	49
"100"	"TA20"	"aspen"	53
"101"	"TA3"	"aspen"	121
"102"	"TA4"	"aspen"	139
"103"	"TA5"	"aspen"	71
"104"	"TA6"	"aspen"	87
"105"	"TA7"	"aspen"	50
"106"	"TA8"	"aspen"	40
"107"	"TA9"	"aspen"	56
"108"	"PB1"	"birch"	92
"109"	"PB12"	"birch"	137
"110"	"PB17"	"birch"	54
"111"	"PB20"	"birch"	125
"112"	"PB5"	"birch"	124
"113"	"PB7"	"birch"	141
"114"	"BS1"	"spruce"	36
"115"	"BS10"	"spruce"	12
"116"	"BS11"	"spruce"	18
"117"	"BS12"	"spruce"	38
"118"	"BS13"	"spruce"	29
"119"	"BS14"	"spruce"	38
"120"	"BS15"	"spruce"	43
"121"	"BS16"	"spruce"	22
"122"	"BS17"	"spruce"	51
"123"	"BS18"	"spruce"	57
"124"	"BS19"	"spruce"	66
"125"	"BS2"	"spruce"	41
"126"	"BS20"	"spruce"	28
"127"	"BS3"	"spruce"	13
"128"	"BS4"	"spruce"	16
"129"	"BS5"	"spruce"	23
"130"	"BS6"	"spruce"	13
"131"	"BS7"	"spruce"	63
"132"	"BS8"	"spruce"	17
"133"	"BS9"	"spruce"	39
"134"	"TA1"	"aspen"	33
"135"	"TA10"	"aspen"	36
"136"	"TA11"	"aspen"	33
"137"	"TA12"	"aspen"	12
"138"	"TA13"	"aspen"	41
"139"	"TA16"	"aspen"	29
"140"	"TA17"	"aspen"	33
"141"	"TA19"	"aspen"	23
"142"	"TA2"	"aspen"	55
"143"	"TA20"	"aspen"	66
"144"	"TA3"	"aspen"	15
"145"	"TA4"	"aspen"	99
"146"	"TA5"	"aspen"	44
"147"	"TA7"	"aspen"	11
"148"	"TA8"	"aspen"	73
"149"	"TA9"	"aspen"	36
"150"	"PB1"	"birch"	218
"151"	"PB12"	"birch"	158
"152"	"PB13"	"birch"	78
"153"	"PB14"	"birch"	146
"154"	"PB16"	"birch"	229
"155"	"PB17"	"birch"	180
"156"	"PB18"	"birch"	176
"157"	"PB2"	"birch"	26
"158"	"PB3"	"birch"	156
"159"	"PB5"	"birch"	95
"160"	"PB9"	"birch"	71
"161"	"BS1"	"spruce"	18
"162"	"BS10"	"spruce"	41
"163"	"BS11"	"spruce"	33
"164"	"BS12"	"spruce"	12
"165"	"BS13"	"spruce"	38
"166"	"BS14"	"spruce"	22
"167"	"BS15"	"spruce"	25
"168"	"BS16"	"spruce"	16
"169"	"BS17"	"spruce"	43
