"stand_id","species","count","height_from","height_to","age","forest_type"
1,"Bene",450,2.87,3.07,11,"bene"
1,"Bene",450,1.45,1.65,11,"bene"
1,"Bene",450,2.48,2.68,11,"bene"
1,"Bene",450,1.33,1.53,11,"bene"
1,"Bene",450,1.54,1.74,11,"bene"
1,"Bene",450,0.51,0.71,11,"bene"
1,"Bene",450,2.08,2.28,11,"bene"
1,"Bene",450,2.5,2.7,11,"bene"
1,"Bene",450,2.2,2.4,11,"bene"
1,"Bene",450,1.65,1.85,11,"bene"
1,"Bene",450,2.25,2.45,11,"bene"
1,"Bene",450,0.97,1.17,11,"bene"
1,"Bene",450,1.57,1.77,11,"bene"
1,"Bene",450,2.4,2.6,11,"bene"
1,"Bene",450,3.7,3.9,11,"bene"
1,"Bene",450,1.75,1.95,11,"bene"
1,"Bene",450,1.61,1.81,11,"bene"
1,"Bene",450,2.23,2.43,11,"bene"
1,"Bene",450,1.52,1.72,11,"bene"
1,"Bene",450,0.33,0.53,11,"bene"
2,"Bene",100,1.3,1.5,11,"bene"
2,"Bene",100,2.98,3.18,11,"bene"
2,"Bene",100,1.61,1.81,11,"bene"
2,"Bene",100,1.77,1.97,11,"bene"
2,"Bene",100,0.4,0.6,11,"bene"
2,"Bene",100,2.22,2.42,11,"bene"
2,"Bene",100,1.43,1.63,11,"bene"
2,"Bene",100,2.64,2.84,11,"bene"
2,"Bene",100,2.68,2.88,11,"bene"
2,"Bene",100,0.66,0.86,11,"bene"
2,"Bene",100,0.88,1.08,11,"bene"
2,"Bene",100,0.48,0.68,11,"bene"
2,"Bene",100,2.76,2.96,11,"bene"
2,"Bene",100,2.27,2.47,11,"bene"
2,"Bene",100,1.22,1.42,11,"bene"
2,"Bene",100,1.34,1.54,11,"bene"
2,"Bene",100,1.67,1.87,11,"bene"
2,"Bene",100,0.61,0.81,11,"bene"
2,"Bene",100,2.04,2.24,11,"bene"
2,"Bene",100,3.46,3.66,11,"bene"
3,"Bene",300,0.3,0.5,11,"bene"
3,"Bene",300,2.12,2.32,11,"bene"
3,"Bene",300,0.82,1.02,11,"bene"
3,"Bene",300,1.6,1.8,11,"bene"
3,"Bene",300,0.69,0.89,11,"bene"
3,"Bene",300,0.88,1.08,11,"bene"
3,"Bene",300,1.17,1.37,11,"bene"
3,"Bene",300,3.28,3.48,11,"bene"
3,"Bene",300,1.13,1.33,11,"bene"
3,"Bene",300,3.02,3.22,11,"bene"
3,"Bene",300,0.91,1.11,11,"bene"
3,"Bene",300,1.54,1.74,11,"bene"
3,"Bene",300,2.33,2.53,11,"bene"
3,"Bene",300,0.63,0.83,11,"bene"
3,"Bene",300,2.19,2.39,11,"bene"
3,"Bene",300,1.86,2.06,11,"bene"
3,"Bene",300,3.69,3.89,11,"bene"
3,"Bene",300,2.05,2.25,11,"bene"
